,State,id,state_code,Year,Population
0,Alabama,1,AL,2010,4785437
1,Alaska,2,AK,2010,713910
2,Arizona,3,AZ,2010,6407172
3,Arkansas,4,AR,2010,2921964
4,California,5,CA,2010,37319502
5,Colorado,6,CO,2010,5047349
6,Connecticut,7,CT,2010,3579114
7,Delaware,8,DE,2010,899593
8,District of Columbia,9,DC,2010,605226
9,Florida,10,FL,2010,18845537
10,Georgia,11,GA,2010,9711881
11,Hawaii,12,HI,2010,1363963
12,Idaho,13,ID,2010,1570746
13,Illinois,14,IL,2010,12840503
14,Indiana,15,IN,2010,6490432
15,Iowa,16,IA,2010,3050745
16,Kansas,17,KS,2010,2858190
17,Kentucky,18,KY,2010,4348181
18,Louisiana,19,LA,2010,4544532
19,Maine,20,ME,2010,1327629
20,Maryland,21,MD,2010,5788645
21,Massachusetts,22,MA,2010,6566307
22,Michigan,23,MI,2010,9877510
23,Minnesota,24,MN,2010,5310828
24,Mississippi,25,MS,2010,2970548
25,Missouri,26,MO,2010,5995974
26,Montana,27,MT,2010,990697
27,Nebraska,28,NE,2010,1829542
28,Nevada,29,NV,2010,2702405
29,New Hampshire,30,NH,2010,1316762
30,New Jersey,31,NJ,2010,8799446
31,New Mexico,32,NM,2010,2064552
32,New York,33,NY,2010,19399878
33,North Carolina,34,NC,2010,9574323
34,North Dakota,35,ND,2010,674715
35,Ohio,36,OH,2010,11539336
36,Oklahoma,37,OK,2010,3759944
37,Oregon,38,OR,2010,3837491
38,Pennsylvania,39,PA,2010,12711160
39,Rhode Island,40,RI,2010,1053959
40,South Carolina,41,SC,2010,4635649
41,South Dakota,42,SD,2010,816166
42,Tennessee,43,TN,2010,6355311
43,Texas,44,TX,2010,25241971
44,Utah,45,UT,2010,2775332
45,Vermont,46,VT,2010,625879
46,Virginia,47,VA,2010,8023699
47,Washington,48,WA,2010,6742830
48,West Virginia,49,WV,2010,1854239
49,Wisconsin,50,WI,2010,5690475
50,Wyoming,51,WY,2010,564487
51,Alabama,1,AL,2011,4799069
52,Alaska,2,AK,2011,722128
53,Arizona,3,AZ,2011,6472643
54,Arkansas,4,AR,2011,2940667
55,California,5,CA,2011,37638369
56,Colorado,6,CO,2011,5121108
57,Connecticut,7,CT,2011,3588283
58,Delaware,8,DE,2011,907381
59,District of Columbia,9,DC,2011,619800
60,Florida,10,FL,2011,19053237
61,Georgia,11,GA,2011,9802431
62,Hawaii,12,HI,2011,1379329
63,Idaho,13,ID,2011,1583910
64,Illinois,14,IL,2011,12867454
65,Indiana,15,IN,2011,6516528
66,Iowa,16,IA,2011,3066336
67,Kansas,17,KS,2011,2869225
